series_id	state	area	year	period	month	value
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M12	December	1230.59
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M11	November	1154.34
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M10	October	1088.23
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M09	September	1082.34
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M08	August	1074.92
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M07	July	1176.67
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M06	June	1123.97
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M05	May	1109.79
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M04	April	1140.42
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M03	March	1194.80
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M02	February	1155.42
SMU29411803000000030	Missouri	St. Louis, MO-IL	2025	M01	January	1108.65
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M12	December	1201.27
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M11	November	1194.37
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M10	October	1193.15
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M09	September	1200.54
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M08	August	1171.68
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M07	July	1174.65
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M06	June	1179.57
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M05	May	1126.71
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M04	April	1122.59
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M03	March	1103.91
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M02	February	1080.37
SMU29411803000000030	Missouri	St. Louis, MO-IL	2024	M01	January	1015.33
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M12	December	1104.03
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M11	November	1038.16
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M10	October	1007.59
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M09	September	989.79
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M08	August	1000.30
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M07	July	1036.09
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M06	June	1002.44
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M05	May	972.19
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M04	April	990.21
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M03	March	958.75
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M02	February	927.36
SMU29411803000000030	Missouri	St. Louis, MO-IL	2023	M01	January	959.14
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M12	December	996.07
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M11	November	1014.34
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M10	October	1034.58
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M09	September	1045.17
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M08	August	1037.59
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M07	July	1084.87
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M06	June	1039.18
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M05	May	1033.38
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M04	April	1018.00
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M03	March	1037.74
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M02	February	989.87
SMU29411803000000030	Missouri	St. Louis, MO-IL	2022	M01	January	935.31
SMU29411803000000030	Missouri	St. Louis, MO-IL	2021	M12	December	976.14
SMU29411803000000030	Missouri	St. Louis, MO-IL	2021	M11	November	1026.31
