series_id	state	area	year	period	month	value
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M12	December	42.4
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M11	November	42.5
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M10	October	41.7
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M09	September	43.4
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M08	August	41.5
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M07	July	43.0
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M06	June	41.5
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M05	May	41.7
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M04	April	43.2
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M03	March	42.1
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M02	February	41.7
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2025	M01	January	41.4
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M12	December	41.7
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M11	November	41.7
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M10	October	43.0
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M09	September	41.5
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M08	August	41.6
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M07	July	42.2
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M06	June	43.5
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M05	May	44.0
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M04	April	41.6
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M03	March	41.8
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M02	February	39.1
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2024	M01	January	37.7
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M12	December	40.4
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M11	November	39.4
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M10	October	39.0
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M09	September	40.6
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M08	August	41.9
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M07	July	42.6
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M06	June	43.6
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M05	May	43.3
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M04	April	43.2
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M03	March	40.5
SMU48417003000000007	Texas	San Antonio-New Braunfels, TX	2023	M02	February	40.7
