series_id	state	area	year	period	month	value
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2021	M01	January	20.62
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M12	December	20.12
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M11	November	20.15
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M10	October	20.09
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M09	September	21.09
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M08	August	20.80
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M07	July	20.14
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M06	June	20.70
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M05	May	21.16
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M04	April	20.89
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M03	March	22.14
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M02	February	22.26
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2020	M01	January	21.79
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M12	December	21.99
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M11	November	21.56
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M10	October	21.06
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M09	September	20.64
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M08	August	20.90
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M07	July	21.14
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M06	June	20.86
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M05	May	20.80
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M04	April	21.26
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M03	March	21.24
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M02	February	21.65
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2019	M01	January	21.84
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M12	December	21.12
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M11	November	20.77
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M10	October	20.79
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M09	September	20.43
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M08	August	20.87
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M07	July	20.69
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M06	June	20.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M05	May	20.06
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M04	April	19.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M03	March	19.32
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M02	February	19.10
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2018	M01	January	18.89
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M12	December	19.02
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M11	November	18.94
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M10	October	18.59
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M09	September	18.32
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M08	August	18.10
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M07	July	18.59
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M06	June	18.41
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M05	May	18.41
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M04	April	18.44
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M03	March	18.70
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M02	February	18.56
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2017	M01	January	18.62
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M12	December	18.45
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M11	November	18.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M10	October	18.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M09	September	18.45
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M08	August	18.60
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M07	July	18.56
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M06	June	18.35
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M05	May	18.32
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M04	April	18.15
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M03	March	18.20
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M02	February	17.89
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2016	M01	January	17.97
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M12	December	18.10
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M11	November	18.39
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M10	October	18.06
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M09	September	18.23
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M08	August	18.18
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M07	July	18.10
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M06	June	18.68
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M05	May	17.53
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M04	April	17.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M03	March	17.44
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M02	February	17.49
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2015	M01	January	17.37
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M12	December	17.51
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M11	November	17.53
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M10	October	18.09
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M09	September	18.09
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M08	August	18.33
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M07	July	18.06
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M06	June	18.17
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M05	May	18.28
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M04	April	18.25
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M03	March	18.79
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M02	February	19.01
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2014	M01	January	19.14
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M12	December	19.16
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M11	November	19.09
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M10	October	18.78
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M09	September	18.84
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M08	August	19.04
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M07	July	19.08
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M06	June	19.13
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M05	May	19.04
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M04	April	18.91
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M03	March	19.07
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M02	February	19.06
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2013	M01	January	18.95
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M12	December	18.63
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M11	November	18.46
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M10	October	18.47
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M09	September	18.72
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M08	August	18.63
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M07	July	18.57
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M06	June	18.54
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M05	May	18.18
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M04	April	18.57
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M03	March	18.71
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M02	February	19.14
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2012	M01	January	19.05
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M12	December	19.12
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M11	November	18.64
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M10	October	18.72
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M09	September	18.16
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M08	August	18.43
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M07	July	19.02
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M06	June	18.50
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M05	May	18.63
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M04	April	18.29
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M03	March	17.87
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M02	February	17.79
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2011	M01	January	17.76
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M12	December	17.70
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M11	November	17.51
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M10	October	17.38
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M09	September	17.38
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M08	August	17.67
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M07	July	17.77
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M06	June	17.72
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M05	May	17.73
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M04	April	17.74
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M03	March	18.10
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M02	February	18.34
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2010	M01	January	18.47
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M12	December	18.60
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M11	November	18.15
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M10	October	18.12
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M09	September	17.86
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M08	August	17.56
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M07	July	17.60
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M06	June	17.50
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M05	May	17.45
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M04	April	17.75
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M03	March	18.02
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M02	February	17.51
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2009	M01	January	17.54
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M12	December	17.23
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M11	November	16.90
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M10	October	16.74
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M09	September	17.34
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M08	August	17.15
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M07	July	16.74
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M06	June	16.32
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M05	May	16.30
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M04	April	16.09
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M03	March	16.47
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M02	February	16.27
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2008	M01	January	16.06
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M12	December	16.51
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M11	November	16.61
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M10	October	16.78
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M09	September	16.61
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M08	August	16.26
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M07	July	16.29
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M06	June	16.18
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M05	May	15.99
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M04	April	15.63
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M03	March	15.39
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M02	February	15.41
SMU04380603000000008	Arizona	Phoenix-Mesa-Chandler, AZ	2007	M01	January	15.42
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M12	December	27.41
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M11	November	27.83
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M10	October	27.81
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M09	September	27.41
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M08	August	27.71
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M07	July	27.34
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M06	June	28.12
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M05	May	28.04
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M04	April	28.34
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M03	March	27.65
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M02	February	27.34
SMU40461403000000008	Oklahoma	Tulsa, OK	2025	M01	January	28.69
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M12	December	29.73
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M11	November	29.31
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M10	October	28.63
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M09	September	28.99
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M08	August	29.17
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M07	July	29.79
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M06	June	30.49
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M05	May	30.54
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M04	April	29.81
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M03	March	30.21
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M02	February	30.33
SMU40461403000000008	Oklahoma	Tulsa, OK	2024	M01	January	30.08
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M12	December	30.26
