series_id	state	area	year	period	month	value
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2020	M06	June	34.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2020	M05	May	31.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2020	M04	April	31.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2020	M03	March	35.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2020	M02	February	35.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2020	M01	January	36.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M12	December	36.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M11	November	36.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M10	October	35.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M09	September	35.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M08	August	35.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M07	July	35.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M06	June	35.5
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M05	May	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M04	April	33.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M03	March	32.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M02	February	31.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2019	M01	January	30.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M12	December	31.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M11	November	31.5
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M10	October	31.5
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M09	September	30.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M08	August	31.6
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M07	July	31.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M06	June	30.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M05	May	31.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M04	April	30.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M03	March	30.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M02	February	31.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2018	M01	January	29.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M12	December	29.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M11	November	29.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M10	October	29.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M09	September	29.6
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M08	August	30.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M07	July	29.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M06	June	29.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M05	May	29.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M04	April	28.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M03	March	28.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M02	February	28.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2017	M01	January	29.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M12	December	30.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M11	November	31.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M10	October	31.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M09	September	32.4
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M08	August	33.0
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M07	July	33.9
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M06	June	34.2
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M05	May	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M04	April	34.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M03	March	34.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M02	February	35.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2016	M01	January	35.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M12	December	34.8
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M11	November	34.7
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M10	October	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M09	September	34.3
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M08	August	34.6
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M07	July	34.1
SMU48417003000000006	Texas	San Antonio-New Braunfels, TX	2015	M06	June	34.3
